Code,Trouble Code System,Condition Description
P0236,Powertrain,Turbo boost sensor A circuit performance
P0236,Powertrain,Turbocharger Boost Sensor A Circuit Range/Performance
P0237,Powertrain,Turbo boost sensor A circuit low input
P0237,Powertrain,Turbocharger Boost Sensor A Circuit Low
P0238,Powertrain,Turbo boost sensor A circuit low high
P0238,Powertrain,Turbocharger Boost Sensor A Circuit High
P0239,Powertrain,Turbocharger Boost Sensor B Circuit Malfunction
P023A,Powertrain,Charge Air Cooler Coolant Pump Control Circuit Open
P023B,Powertrain,Charge Air Cooler Coolant Pump Control Circuit Low
P023C,Powertrain,Charge Air Cooler Coolant Pump Control Circuit High
P023D,Powertrain,Manifold Absolute Pressure - Turbocharger/Supercharger Boost Sensor - Correlation
P023E,Powertrain,Manifold Absolute Pressure - Turbocharger/Supercharger Boost Sensor - Correlation
P023F,Powertrain,Fuel Pump Secondary Circuit/Open 
P0240,Powertrain,Turbocharger Boost Sensor B Circuit Range/Performance
P0241,Powertrain,Turbocharger Boost Sensor B Circuit Low
P0242,Powertrain,Turbocharger Boost Sensor B Circuit High
P0243,Powertrain,Turbocharger Wastegate Solenoid A Malfunction
P0244,Powertrain,Turbocharger Wastegate Solenoid A Range/Performance
P0245,Powertrain,Turbocharger Wastegate Solenoid A Low
P0246,Powertrain,Turbocharger Wastegate Solenoid A High
P0247,Powertrain,Turbocharger Wastegate Solenoid B Malfunction
P0248,Powertrain,Turbocharger Wastegate Solenoid B Range/Performance
P0249,Powertrain,Turbocharger Wastegate Solenoid B Low
P024A,Powertrain,Charge Air Cooler Bypass Control - Range/Performance
P024B,Powertrain,Charge Air Cooler Bypass Control - Stuck
P024C,Powertrain,Charge Air Cooler Bypass Position Sensor - Circuit
P024D,Powertrain,Charge Air Cooler Bypass Position Sensor - Circuit Range/Performance
P024E,Powertrain,Charge Air Cooler Bypass Position Sensor - Circuit Low
P024F,Powertrain,Charge Air Cooler Bypass Position Sensor - Circuit High
P0250,Powertrain,Turbocharger Wastegate Solenoid B High
P0251,Powertrain,Injection Pump Fuel Metering Control A Malfunction (Cam/Rotor/Injector)
P0252,Powertrain,Injection Pump Fuel Metering Control A Range/Performance (Cam/Rotor/Injector)
P0253,Powertrain,Injection Pump Fuel Metering Control A Low (Cam/Rotor/Injector)
P0254,Powertrain,Injection Pump Fuel Metering Control A High (Cam/Rotor/Injector)
P0255,Powertrain,Injection Pump Fuel Metering Control A Intermittent (Cam/Rotor/Injector)
P0256,Powertrain,Injection Pump Fuel Metering Control B Malfunction (Cam/Rotor/Injector)
P0257,Powertrain,Injection Pump Fuel Metering Control B Range/Performance Injector)
P0258,Powertrain,Injection Pump Fuel Metering Control B Low (Cam/Rotor/Injector)
P0259,Powertrain,Injection Pump Fuel Metering Control B High (Cam/Rotor/Injector)
P025A,Powertrain,Fuel Pump Module Control Circuit/Open
P025B,Powertrain,Fuel Pump Module Control Circuit Range/Performance
P025C,Powertrain,Fuel Pump Module Control Circuit Low
P025D,Powertrain,Fuel Pump Module Control Circuit High
P0260,Powertrain,"Injection Pump Fuel Metering Control ""B"" Intermittent (Cam/Rotor/Injector)"
P0261,Powertrain,Injector circuit low Cylinder 1
P0261,Powertrain,Cylinder 1 Injector Circuit Low
P0262,Powertrain,Injector circuit high Cylinder 1
P0262,Powertrain,Cylinder 1 Injector Circuit High
P0263,Powertrain,Cylinder 1 contribution/balance fault
P0263,Powertrain,Cylinder 1 Contribution/Balance Fault
P0264,Powertrain,Injector circuit low Cylinder 2
P0264,Powertrain,Cylinder 2 Injector Circuit Low
P0265,Powertrain,Injector circuit high Cylinder 2
P0265,Powertrain,Cylinder 2 Injector Circuit High
P0266,Powertrain,Cylinder 2 contribution/balance fault
P0266,Powertrain,Cylinder 2 Contribution/Balance Fault
P0267,Powertrain,Injector circuit low Cylinder 3
P0267,Powertrain,Cylinder 3 Injector Circuit Low
P0268,Powertrain,Injector circuit high Cylinder 3
P0268,Powertrain,Cylinder 3 Injector Circuit High
P0269,Powertrain,Cylinder 3 contribution/balance fault
P0269,Powertrain,Cylinder 3 Contribution/Balance Fault
P0270,Powertrain,Injector circuit low Cylinder 4
P0270,Powertrain,Cylinder 4 Injector Circuit Low
P0271,Powertrain,Injector circuit high Cylinder 4
P0271,Powertrain,Cylinder 4 Injector Circuit High
P0272,Powertrain,Cylinder 4 contribution/balance fault
P0272,Powertrain,Cylinder 4 Contribution/Balance Fault
P0273,Powertrain,Injector circuit low Cylinder 5
P0273,Powertrain,Cylinder 5 Injector Circuit Low
P0274,Powertrain,Injector circuit high Cylinder 5
P0274,Powertrain,Cylinder 5 Injector Circuit High
P0275,Powertrain,Cylinder 5 contribution/balance fault
P0275,Powertrain,Cylinder 5 Contribution/Balance Fault
P0276,Powertrain,Injector circuit low Cylinder 6
P0276,Powertrain,Cylinder 6 Injector Circuit Low
P0277,Powertrain,Injector circuit high Cylinder 6
P0277,Powertrain,Cylinder 6 Injector Circuit High
P0278,Powertrain,Cylinder 6 contribution/balance fault
P0278,Powertrain,Cylinder 6 Contribution/Balance Fault
P0279,Powertrain,Injector circuit low Cylinder 7
P0279,Powertrain,Cylinder 7 Injector Circuit Low
P0280,Powertrain,Injector circuit high Cylinder 7
P0280,Powertrain,Cylinder 7 Injector Circuit High
P0281,Powertrain,Cylinder 7 contribution/balance fault
P0281,Powertrain,Cylinder 7 Contribution/Balance Fault
P0282,Powertrain,Injector circuit low Cylinder 8
P0282,Powertrain,Cylinder 8 Injector Circuit Low
P0283,Powertrain,Injector circuit high Cylinder 8
P0283,Powertrain,Cylinder 8 Injector Circuit High
P0284,Powertrain,Cylinder 8 contribution/balance fault
P0284,Powertrain,Cylinder 8 Contribution/Balance Fault
P0285,Powertrain,Cylinder 9 Injector Circuit Low
P0286,Powertrain,Cylinder 9 Injector Circuit High
P0287,Powertrain,Cylinder 9 Contribution/Balance Fault
P0288,Powertrain,Cylinder 10 Injector Circuit Low
P0289,Powertrain,Cylinder 10 Injector Circuit High
P0290,Powertrain,Cylinder 10 Contribution/Balance Fault
P0291,Powertrain,Cylinder 11 Injector Circuit Low
P0292,Powertrain,Cylinder 11 Injector Circuit High
P0293,Powertrain,Cylinder 11 Contribution/Balance Fault
P0294,Powertrain,Cylinder 12 Injector Circuit Low
P0295,Powertrain,Cylinder 12 Injector Circuit High
P0296,Powertrain,Cylinder 12 Contribution/Range Fault
P0297,Powertrain,Vehicle Overspeed Condition
P0298,Powertrain,Engine Oil Over Temperature Condition
P0299,Powertrain,Turbocharger/Supercharger - Underboost Condition
P029A,Powertrain,Cylinder 1 - Fuel Trim at Max Limit
P029B,Powertrain,Cylinder 1 - Fuel Trim at Min Limit
P029C,Powertrain,Cylinder 1 - Injector Restricted
P029D,Powertrain,Cylinder 1 - Injector Leaking
P029E,Powertrain,Cylinder 2 - Fuel Trim at Max Limit
P029F,Powertrain,Cylinder 2 - Fuel Trim at Min Limit
P02A0,Powertrain,Cylinder 2 - Injector Restricted
P02A1,Powertrain,Cylinder 2 - Injector Leaking
P02A2,Powertrain,Cylinder 3 - Fuel Trim at Max Limit
P02A3,Powertrain,Cylinder 3 - Fuel Trim at Min Limit
P02A4,Powertrain,Cylinder 3 - Injector Restricted
P02A5,Powertrain,Cylinder 3 - Injector Leaking
P02A6,Powertrain,Cylinder 4 - Fuel Trim at Max Limit
P02A7,Powertrain,Cylinder 4 - Fuel Trim at Min Limit
P02A8,Powertrain,Cylinder 4 - Injector Restricted
P02A9,Powertrain,Cylinder 4 - Injector Leaking
P02AA,Powertrain,Cylinder 5 - Fuel Trim at Max Limit
P02AB,Powertrain,Cylinder 5 - Fuel Trim at Min Limit
P02AC,Powertrain,Cylinder 5 - Injector Restricted
P02AD,Powertrain,Cylinder 5 - Injector Leaking
P02AE,Powertrain,Cylinder 6 - Fuel Trim at Max Limit
P02AF,Powertrain,Cylinder 6 - Fuel Trim at Min Limit
P02B0,Powertrain,Cylinder 6 - Injector Restricted
P02B1,Powertrain,Cylinder 6 - Injector Leaking
P02B2,Powertrain,Cylinder 7 - Fuel Trim at Max Limit
P02B3,Powertrain,Cylinder 7 - Fuel Trim at Min Limit
P02B4,Powertrain,Cylinder 7 - Injector Restricted
P02B5,Powertrain,Cylinder 7 - Injector Leaking
P02B6,Powertrain,Cylinder 8 - Fuel Trim at Max Limit
P02B7,Powertrain,Cylinder 8 - Fuel Trim at Min Limit
P02B8,Powertrain,Cylinder 8 - Injector Restricted
P02B9,Powertrain,Cylinder 8 - Injector Leaking
P02BA,Powertrain,Cylinder 9 - Fuel Trim at Max Limit
P02BB,Powertrain,Cylinder 9 - Fuel Trim at Min Limit
P02BC,Powertrain,Cylinder 9 - Injector Restricted
P02BD,Powertrain,Cylinder 9 - Injector Leaking
P02BE,Powertrain,Cylinder 10 - Fuel Trim at Max Limit
P02BF,Powertrain,Cylinder 10 - Fuel Trim at Min Limit
P02C0,Powertrain,Cylinder 10 - Injector Restricted
P02C1,Powertrain,Cylinder 10 - Injector Leaking
P02C2,Powertrain,Cylinder 11 - Fuel Trim at Max Limit
P02C3,Powertrain,Cylinder 11 - Fuel Trim at Min Limit
P02C4,Powertrain,Cylinder 11 - Injector Restricted
P02C5,Powertrain,Cylinder 11 - Injector Leaking
P02C6,Powertrain,Cylinder 12 - Fuel Trim at Max Limit
P02C7,Powertrain,Cylinder 12 - Fuel Trim at Min Limit
P02C8,Powertrain,Cylinder 12 - Injector Restricted
P02C9,Powertrain,Cylinder 12 - Injector Leaking
P02CA,Powertrain,Turbocharger/Supercharger - Overboost Condition
P02CB,Powertrain,Turbocharger/Supercharger - Underboost Condition
P02CC,Powertrain,Cylinder 1 Fuel Injector Offset Learning At Min Limit
P02CD,Powertrain,Cylinder 1 Fuel Injector Offset Learning At Max Limit
P02CE,Powertrain,Cylinder 2 Fuel Injector Offset Learning At Min Limit
P02CF,Powertrain,Cylinder 2 Fuel Injector Offset Learning At Max Limit
P02D0,Powertrain,Cylinder 3 Fuel Injector Offset Learning At Min Limit
P02D1,Powertrain,Cylinder 3 Fuel Injector Offset Learning At Max Limit
P02D2,Powertrain,Cylinder 4 Fuel Injector Offset Learning At Min Limit
P02D3,Powertrain,Cylinder 4 Fuel Injector Offset Learning At Max Limit
P02D4,Powertrain,Cylinder 5 Fuel Injector Offset Learning At Min Limit
P02D5,Powertrain,Cylinder 5 Fuel Injector Offset Learning At Max Limit
P02D6,Powertrain,Cylinder 6 Fuel Injector Offset Learning At Min Limit
P02D7,Powertrain,Cylinder 6 Fuel Injector Offset Learning At Max Limit
P02D8,Powertrain,Cylinder 7 Fuel Injector Offset Learning At Min Limit
P02D9,Powertrain,Cylinder 7 Fuel Injector Offset Learning At Max Limit
P02DA,Powertrain,Cylinder 8 Fuel Injector Offset Learning At Min Limit
P02DB,Powertrain,Cylinder 8 Fuel Injector Offset Learning At Max Limit
P02DC,Powertrain,Cylinder 9 Fuel Injector Offset Learning At Min Limit
P02DD,Powertrain,Cylinder 9 Fuel Injector Offset Learning At Max Limit
P02DE,Powertrain,Cylinder 10 Fuel Injector Offset Learning At Min Limit
P02DF,Powertrain,Cylinder 10 Fuel Injector Offset Learning At Max Limit
P02E0,Powertrain,Diesel Intake Air Flow Control Circuit/Open
P02E1,Powertrain,Diesel Intake Air Flow Control Performance
P02E2,Powertrain,Diesel Intake Air Flow Control Circuit Low
P02E3,Powertrain,Diesel Intake Air Flow Control Circuit High
P02E4,Powertrain,Diesel Intake Air Flow Control Stuck Open
P02E5,Powertrain,Diesel Intake Air Flow Control Stuck Closed
P02E6,Powertrain,Diesel Intake Air Flow Position Sensor Circuit
P02E7,Powertrain,Diesel Intake Air Flow Position Sensor Circuit Range/Performance
P02E8,Powertrain,Diesel Intake Air Flow Position Sensor Circuit Low
P02E9,Powertrain,Diesel Intake Air Flow Position Sensor Circuit High
P02EA,Powertrain,Diesel Intake Air Flow Position Sensor Circuit Intermittent/Erratic
P02EB,Powertrain,Diesel Intake Air Flow Control Motor Current Range/Performance
P02EC,Powertrain,Diesel Intake Air Flow Control System - High Air Flow Detected
P02ED,Powertrain,Diesel Intake Air Flow Control System - Low Air Flow Detected
P02EE,Powertrain,Cylinder 1 Injector Circuit Range/Performance
P02EF,Powertrain,Cylinder 2 Injector Circuit Range/Performance
P02F0,Powertrain,Cylinder 3 Injector Circuit Range/Performance
P02F1,Powertrain,Cylinder 4 Injector Circuit Range/Performance
P02F2,Powertrain,Cylinder 5 Injector Circuit Range/Performance
P02F3,Powertrain,Cylinder 6 Injector Circuit Range/Performance
P02F4,Powertrain,Cylinder 7 Injector Circuit Range/Performance
P02F5,Powertrain,Cylinder 8 Injector Circuit Range/Performance
P02F6,Powertrain,Cylinder 9 Injector Circuit Range/Performance
P02F7,Powertrain,Cylinder 10 Injector Circuit Range/Performance
P02F8,Powertrain,Cylinder 11 Injector Circuit Range/Performance
P02F9,Powertrain,Cylinder 12 Injector Circuit Range/Performance
P02FA,Powertrain,Diesel Intake Air Flow Position Sensor Minimum/Maximum Stop Performance
P0300,Powertrain,Random/Multiple Cylinder Misfire Detected
P0301,Powertrain,Fault cylinder 1 Misfire detected
P0301,Powertrain,Cylinder 1 Misfire Detected
P0302,Powertrain,Fault cylinder 2 Misfire detected
P0302,Powertrain,Cylinder 2 Misfire Detected
P0303,Powertrain,Fault cylinder 3 Misfire detected
P0303,Powertrain,Cylinder 3 Misfire Detected
P0304,Powertrain,Fault cylinder 4 Misfire detected
P0304,Powertrain,Cylinder 4 Misfire Detected
P0305,Powertrain,Fault cylinder 5 Misfire detected
P0305,Powertrain,Cylinder 5 Misfire Detected
P0306,Powertrain,Fault cylinder 6 Misfire detected
P0306,Powertrain,Cylinder 6 Misfire Detected
P0307,Powertrain,Fault cylinder 7 Misfire detected
P0307,Powertrain,Cylinder 7 Misfire Detected
P0308,Powertrain,Fault cylinder 8 Misfire detected
P0308,Powertrain,Cylinder 8 Misfire Detected
P0309,Powertrain,Cylinder 9 Misfire Detected
P0310,Powertrain,Cylinder 10 Misfire Detected
P0311,Powertrain,Cylinder 11 Misfire Detected
P0312,Powertrain,Cylinder 12 Misfire Detected
P0313,Powertrain,Misfire Detected with Low Fuel
P0314,Powertrain,Single Cylinder Misfire (Cylinder not Specified)
P0315,Powertrain,Crankshaft Position System Variation Not Learned
P0316,Powertrain,Misfire Detected On Startup (First 1000 Revolutions)
P0317,Powertrain,Rough Road Hardware Not Present
P0318,Powertrain,Rough Road Sensor A Signal Circuit
P0319,Powertrain,Rough Road Sensor B Signal Circuit 
P0320,Powertrain,Ignition/Distributor Engine Speed Input Circuit Malfunction
P0321,Powertrain,Ignition/Distributor Engine Speed Input Circuit Range/Performance
P0322,Powertrain,Ignition/Distributor Engine Speed Input Circuit No Signal
P0323,Powertrain,Ignition/Distributor Engine Speed Input Circuit Intermittent
P0324,Powertrain,Knock Control System Error
P0325,Powertrain,Knock Sensor 1 Circuit Malfunction (Bank 1 or Single Sensor)
P0326,Powertrain,Knock Sensor 1 Circuit Range/Performance (Bank 1 or Single Sensor)
P0327,Powertrain,Knock Sensor 1 Circuit Low Input (Bank 1 or Single Sensor)
P0328,Powertrain,Knock Sensor 1 Circuit High Input (Bank 1 or Single Sensor)
P0329,Powertrain,Knock Sensor 1 Circuit Intermittent (Bank 1 or Single Sensor)
P032A,Powertrain,Knock Sensor 3 Circuit Bank 1
P032B,Powertrain,Knock Sensor 3 Circuit Range/Performance Bank 1
P032C,Powertrain,Knock Sensor 3 Circuit Low Bank 1
P032D,Powertrain,Knock Sensor 3 Circuit High Bank 1
P032E,Powertrain,Knock Sensor 3 Circuit Intermittent Bank 1
P0330,Powertrain,Knock Sensor 2 Circuit Malfunction (Bank 2)
P0331,Powertrain,Knock Sensor 2 Circuit Range/Performance (Bank 2)
P0332,Powertrain,Knock Sensor 2 Circuit Low Input (Bank 2)
P0333,Powertrain,Knock Sensor 2 Circuit High Input (Bank 2)
P0334,Powertrain,Knock Sensor 2 Circuit Intermittent (Bank 2)
P0335,Powertrain,Crankshaft Position Sensor A Circuit Malfunction
P0336,Powertrain,Crankshaft Position Sensor A Circuit Range/Performance
P0337,Powertrain,Crankshaft Position Sensor A Circuit Low Input
P0338,Powertrain,Crankshaft Position Sensor A Circuit High Input
P0339,Powertrain,Crankshaft Position Sensor A Circuit Intermittent
P033A,Powertrain,Knock Sensor 4 Circuit (Bank 2)
P033B,Powertrain,Knock Sensor 4 Circuit Range/Performance (Bank 2)
P033C,Powertrain,Knock Sensor 4 Circuit Low (Bank 2)
P033D,Powertrain,Knock Sensor 4 Circuit High (Bank 2)
P033E,Powertrain,Knock Sensor 4 Circuit Intermittent (Bank 2)
P0340,Powertrain,Camshaft position sensor ckt. malfunction
P0340,Powertrain,Camshaft Position Sensor Circuit Malfunction (Bank 1)
P0341,Powertrain,Camshaft position sensor ckt. performance
P0341,Powertrain,Camshaft Position Sensor Circuit Range/Performance (Bank 1)
P0342,Powertrain,Camshaft Position Sensor A Circuit Low Input (Bank 1)
P0343,Powertrain,Camshaft Position Sensor A Circuit High Input (Bank 1)
P0344,Powertrain,Camshaft position sensor ckt. intermittent
P0344,Powertrain,Camshaft Position Sensor A Circuit Intermittent (Bank 1)
P0345,Powertrain,Camshaft Position Sensor A Circuit Malfunction (Bank 2)
P0346,Powertrain,Camshaft Position Sensor A Circuit Range/Performance (Bank 2)
P0347,Powertrain,Camshaft Position Sensor A Circuit Low Input (Bank 2)
P0348,Powertrain,Camshaft Position Sensor A Circuit High Input (Bank 2)
P0349,Powertrain,Camshaft Position Sensor A Circuit Intermittent (Bank 2)
P0350,Powertrain,Ignition Coil Primary/Secondary Circuit Malfunction
P0351,Powertrain,Ignition Coil A Primary/Secondary Circuit Malfunction
P0352,Powertrain,Ignition Coil B Primary/Secondary Circuit Malfunction
P0353,Powertrain,Ignition Coil C Primary/Secondary Circuit Malfunction
P0354,Powertrain,Ignition Coil D Primary/Secondary Circuit Malfunction
P0355,Powertrain,Ignition Coil E Primary/Secondary Circuit Malfunction
P0356,Powertrain,Ignition Coil F Primary/Secondary Circuit Malfunction
P0357,Powertrain,Ignition Coil G Primary/Secondary Circuit Malfunction
P0358,Powertrain,Ignition Coil H Primary/Secondary Circuit Malfunction
P0359,Powertrain,Ignition Coil I Primary/Secondary Circuit Malfunction
P0360,Powertrain,Ignition Coil J Primary/Secondary Circuit Malfunction
P0361,Powertrain,Ignition Coil K Primary/Secondary Circuit Malfunction
P0362,Powertrain,Ignition Coil L Primary/Secondary Circuit Malfunction
P0363,Powertrain,Misfire Detected - Fueling Disabled
P0365,Powertrain,Camshaft Position Sensor  - Circuit (Bank 1)
P0366,Powertrain,Camshaft Position Sensor  - Circuit Range/Performance (Bank 1)
P0367,Powertrain,Camshaft Position Sensor  - Circuit Low (Bank 1)
P0368,Powertrain,Camshaft Position Sensor  - Circuit High (Bank 1)
P0369,Powertrain,Camshaft Position Sensor  - Circuit Intermittent (Bank 1)
P0370,Powertrain,Timing Reference High Resolution Signal A Malfunction
P0371,Powertrain,Timing Reference High Resolution Signal A Too Many Pulses
P0372,Powertrain,Timing Reference High Resolution Signal A Too Few Pulses
P0373,Powertrain,Timing Reference High Resolution Signal A Intermittent/Erratic Pulses
P0374,Powertrain,Timing Reference High Resolution Signal A No Pulses
P0375,Powertrain,Timing Reference High Resolution Signal B Malfunction
P0376,Powertrain,Timing Reference High Resolution Signal B Too Many Pulses
P0377,Powertrain,Timing Reference High Resolution Signal B Too Few Pulses
P0378,Powertrain,Timing Reference High Resolution Signal B Intermittent/Erratic Pulses
P0379,Powertrain,Timing Reference High Resolution Signal B No Pulses
